NormalizedSubject	TaxID	Status
Acinetobacter baumannii 123C	470.0	ok
Acinetobacter baumannii 309C	470.0	ok
Acinetobacter baumannii 432B	470.0	ok
Acinetobacter baumannii 518B	470.0	ok
Acinetobacter baumannii A2265	470.0	ok
Acinetobacter baumannii AB5075	1116234.0	ok
Acinetobacter baumannii ABUH41488	470.0	ok
Acinetobacter baumannii ABUH41489	470.0	ok
Acinetobacter baumannii AR-0033	470.0	ok
Acinetobacter baumannii AR-0037	470.0	ok
Acinetobacter baumannii ATCC 17978	400667.0	ok
Acinetobacter baumannii ATCC 19606	470.0	ok
Acinetobacter baumannii ATCC BAA1605	470.0	ok
Acinetobacter baumannii Ab1	470.0	ok
Acinetobacter baumannii Ab11	470.0	ok
Acinetobacter baumannii Ab12	470.0	ok
Acinetobacter baumannii Ab2	470.0	ok
Acinetobacter baumannii Ab3	470.0	ok
Acinetobacter baumannii Ab4	470.0	ok
Acinetobacter baumannii MMX2240	470.0	ok
Acinetobacter baumannii PBIO721	470.0	ok
Acinetobacter baumannii TP1	470.0	ok
Acinetobacter baumannii TP3	470.0	ok
Azospirillum argentinense UC4320	2970906.0	ok
Azospirillum argentinense UC4321	2970906.0	ok
Azospirillum sp.. UWAZO		fail
Bacillus cereus ATCC 10987	222523.0	ok
Bacillus cereus ATCC 11778	1396.0	ok
Bacillus cereus ATCC 14579	226900.0	ok
Bacillus rugosus Khuz-2	2715209.0	ok
Bacillus safensis Khuz-1	561879.0	ok
Bacillus subtilis ATCC 6633	1423.0	ok
Bacillus subtilis MTCC121	1423.0	ok
Bacillus subtilis WDCM0003	1423.0	ok
Bacillus velezensis Khuz-3	492670.0	ok
Botrytis cinerea HLD-18	40559.0	ok
Burkholderia cepacia ATCC 25416	983594.0	ok
Burkholderia cepacia b19	292.0	ok
Burkholderia cepacia dm93	292.0	ok
Candida albicans ATCC 10231	5476.0	ok
Candida albicans ATCC 2002	5476.0	ok
Candida albicans SC5314	237561.0	ok
Candida duobushaemulonii F4458		fail
Candida duobushaemulonii F4464		fail
Candida duobushaemulonii F4490		fail
Candida duobushaemulonii F4560		fail
Candida duobushaemulonii F4566		fail
Candida duobushaemulonii F4572		fail
Candida duobushaemulonii F4608		fail
Candida duobushaemulonii F4616		fail
Candida duobushaemulonii F7396		fail
Chimaeribacter arupi DSM 115072	2060066.0	ok
Chlorella variabilis NC64A	554065.0	ok
Citrobacter braakii 1SBR104	57706.0	ok
Citrobacter braakii 3SWD1	57706.0	ok
Citrobacter braakii 5CP1581	57706.0	ok
Citrobacter braakii 5SBR103	57706.0	ok
Citrobacter braakii 5SBR282	57706.0	ok
Citrobacter braakii 5SWD1	57706.0	ok
Citrobacter braakii 6CP11281B	57706.0	ok
Citrobacter braakii 6STM5	57706.0	ok
Citrobacter freundii ARC3518	546.0	ok
Citrobacter freundii PBIO701	546.0	ok
Clostridioides difficile MT1470	1496.0	ok
Clostridioides difficile MT5006	1496.0	ok
Clostridioides difficile NAPCR1	1496.0	ok
Clostridioides difficile NB95026	1496.0	ok
Clostridioides difficile R20291	1496.0	ok
Corynebacterium diphtheriae FRC0024	1717.0	ok
Enterobacter aerogenes ATCC 13048		fail
Enterobacter aerogenes EA27		fail
Enterobacter cloacae ARC6049	550.0	ok
Enterobacter cloacae BM47	550.0	ok
Enterococcus faecalis 10-1-01	1351.0	ok
Enterococcus faecalis 10-1-02	1351.0	ok
Enterococcus faecalis 10-1-04	1351.0	ok
Enterococcus faecalis 10-1-05	1351.0	ok
Enterococcus faecalis 10-1-09	1351.0	ok
Enterococcus faecalis 10-1A	1351.0	ok
Enterococcus faecalis 10-2-12	1351.0	ok
