NormalizedSubject	TaxID	Source
Acinetobacter baumannii 123C	470	json
Acinetobacter baumannii 309C	470	json
Acinetobacter baumannii 432B	470	json
Acinetobacter baumannii 518B	470	json
Acinetobacter baumannii A2265	470	json
Acinetobacter baumannii AB5075	1116234	json
Acinetobacter baumannii ABUH41488	470	json
Acinetobacter baumannii ABUH41489	470	json
Acinetobacter baumannii AR-0033	470	json
Acinetobacter baumannii AR-0037	470	json
Acinetobacter baumannii ATCC 17978	470	json
Acinetobacter baumannii ATCC 19606	575584	json
Acinetobacter baumannii ATCC BAA1605	470	json
Acinetobacter baumannii Ab1	470	json
Acinetobacter baumannii Ab11	470	json
Acinetobacter baumannii Ab12	470	json
Acinetobacter baumannii Ab2	470	json
Acinetobacter baumannii Ab3	470	json
Acinetobacter baumannii Ab4	470	json
Acinetobacter baumannii LMG01041	470	json
Acinetobacter baumannii MMX2240	470	json
Acinetobacter baumannii NRZ00687	470	json
Acinetobacter baumannii PBIO721	470	json
Acinetobacter baumannii TP1	470	json
Acinetobacter baumannii TP3	470	json
Aspergillus niger MTCC1881	5061	json
Azospirillum argentinense UC4320	2970906	json
Azospirillum argentinense UC4321	2970906	json
Azospirillum sp.. UWAZO	34012	json
Bacillus cereus ATCC 10987	222523	json
Bacillus cereus ATCC 11778	1396	json
Bacillus cereus ATCC 14579	226900	json
Bacillus cereus PTCC1247	1396	json
Bacillus rugosus Khuz-2	2715209	json
Bacillus safensis Khuz-1	561879	json
Bacillus subtilis ATCC 6633	1423	json
Bacillus subtilis MTCC121	1423	json
Bacillus subtilis MTCC736	1423	json
Bacillus subtilis PCM2850	1423	json
Bacillus subtilis WDCM00003	1423	json
Bacillus subtilis WDCM0003	1423	json
Bacillus velezensis Khuz-3	492670	json
Botrytis cinerea HLD-18	332648	json
Burkholderia cepacia ATCC 25416	983594	json
Burkholderia cepacia b19	292	json
Burkholderia cepacia dm93	292	json
Candida albicans ATCC 10231	5476	json
Candida albicans ATCC 2002	5476	json
Candida albicans MTCC227	5476	json
Candida albicans PCM2566	5476	json
Candida albicans SC5314	237561	json
Candida albicans WDCM00054	5476	json
Candida auris CBS12766	498019	json
Candida duobushaemulonii F4458	1231522	json
Candida duobushaemulonii F4464	1231522	json
Candida duobushaemulonii F4490	1231522	json
Candida duobushaemulonii F4560	1231522	json
Candida duobushaemulonii F4566	1231522	json
Candida duobushaemulonii F4572	1231522	json
Candida duobushaemulonii F4608	1231522	json
Candida duobushaemulonii F4616	1231522	json
Candida duobushaemulonii F7396	1231522	json
Chimaeribacter arupi DSM 115072	2060066	json
Chlorella variabilis NC64A	554065	json
Citrobacter braakii 1SBR104	57706	json
Citrobacter braakii 3SWD1	57706	json
Citrobacter braakii 5CP1581	57706	json
Citrobacter braakii 5SBR103	57706	json
Citrobacter braakii 5SBR282	57706	json
Citrobacter braakii 5SWD1	57706	json
Citrobacter braakii 6CP11281B	57706	json
Citrobacter braakii 6STM5	57706	json
Citrobacter freundii ARC3518	546	json
Citrobacter freundii CIP5732	546	json
Citrobacter freundii PBIO701	546	json
Clostridioides difficile MT1470	1496	json
Clostridioides difficile MT5006	1496	json
Clostridioides difficile NAPCR1	1496	json
Clostridioides difficile NB95026	1496	json
Clostridioides difficile R20291	645463	json
Corynebacterium diphtheriae FRC0024	1717	json
Enterobacter aerogenes ATCC 13048	548	json
Enterobacter aerogenes EA27	548	json
Enterobacter cloacae ARC6049	550	json
Enterobacter cloacae BM47	550	json
Enterobacter cloacae CIP103475	550	json
Enterobacter cloacae LMG02783	550	json
Enterobacter cloacae NCTC11936	550	json
Enterococcus faecalis 10-1-01	1351	json
Enterococcus faecalis 10-1-02	1351	json
Enterococcus faecalis 10-1-04	1351	json
Enterococcus faecalis 10-1-05	1351	json
Enterococcus faecalis 10-1-09	1351	json
Enterococcus faecalis 10-1A	1351	json
Enterococcus faecalis 10-2-12	1351	json
Enterococcus faecalis 10-2-17	1351	json
Enterococcus faecalis 10-6-41	1351	json
Enterococcus faecalis 10-6-46	1351	json
Enterococcus faecalis 10-6-50	1351	json
Enterococcus faecalis 10-6A	1351	json
Enterococcus faecalis 11-3A	1351	json
Enterococcus faecalis 11-7A	1351	json
Enterococcus faecalis 12-03-20	1351	json
Enterococcus faecalis 12-1VP	1351	json
Enterococcus faecalis 12-3-27	1351	json
Enterococcus faecalis 12-7-68	1351	json
Enterococcus faecalis 12-8-01	1351	json
Enterococcus faecalis 13-06-51	1351	json
Enterococcus faecalis 13-1-05	1351	json
Enterococcus faecalis 13-1-06	1351	json
Enterococcus faecalis 13-1-07	1351	json
Enterococcus faecalis 13-1-08	1351	json
Enterococcus faecalis 13-1-09	1351	json
