NormalizedSubject	TaxID	Source
Acinetobacter baumannii 123C	470.0	ena
Acinetobacter baumannii 309C	470.0	ena
Acinetobacter baumannii 432B	470.0	ena
Acinetobacter baumannii 518B	470.0	ena
Acinetobacter baumannii A2265	470.0	ena
Acinetobacter baumannii AB5075	1116234.0	ena
Acinetobacter baumannii ABUH41488	470.0	ena
Acinetobacter baumannii ABUH41489	470.0	ena
Acinetobacter baumannii AR-0033	470.0	ena
Acinetobacter baumannii AR-0037	470.0	ena
Acinetobacter baumannii ATCC 17978	400667.0	ena
Acinetobacter baumannii ATCC 19606	470.0	ena
Acinetobacter baumannii ATCC BAA1605	470.0	ena
Acinetobacter baumannii Ab1	470.0	ena
Acinetobacter baumannii Ab11	470.0	ena
Acinetobacter baumannii Ab12	470.0	ena
Acinetobacter baumannii Ab2	470.0	ena
Acinetobacter baumannii Ab3	470.0	ena
Acinetobacter baumannii Ab4	470.0	ena
Acinetobacter baumannii LMG01041	470.0	json
Acinetobacter baumannii MMX2240	470.0	ena
Acinetobacter baumannii NRZ00687	470.0	json
Acinetobacter baumannii PBIO721	470.0	ena
Acinetobacter baumannii TP1	470.0	ena
Acinetobacter baumannii TP3	470.0	ena
Aspergillus niger MTCC1881	5061.0	json
Azospirillum argentinense UC4320	2970906.0	ena
Azospirillum argentinense UC4321	2970906.0	ena
Azospirillum sp.. UWAZO		missing
Bacillus cereus ATCC 10987	222523.0	ena
Bacillus cereus ATCC 11778	1396.0	ena
Bacillus cereus ATCC 14579	226900.0	ena
Bacillus cereus PTCC1247	1396.0	json
Bacillus rugosus Khuz-2	2715209.0	ena
Bacillus safensis Khuz-1	561879.0	ena
Bacillus subtilis ATCC 6633	1423.0	ena
Bacillus subtilis MTCC121	1423.0	ena
Bacillus subtilis MTCC736	1423.0	json
Bacillus subtilis PCM2850	1423.0	json
Bacillus subtilis WDCM00003	1423.0	json
Bacillus subtilis WDCM0003	1423.0	ena
Bacillus velezensis Khuz-3	492670.0	ena
Botrytis cinerea HLD-18	40559.0	ena
Burkholderia cepacia ATCC 25416	983594.0	ena
Burkholderia cepacia b19	292.0	ena
Burkholderia cepacia dm93	292.0	ena
Candida albicans ATCC 10231	5476.0	ena
Candida albicans ATCC 2002	5476.0	ena
Candida albicans MTCC227	5476.0	json
Candida albicans PCM2566	5476.0	json
Candida albicans SC5314	237561.0	ena
Candida albicans WDCM00054	5476.0	json
Candida auris CBS12766	498019.0	json
Candida duobushaemulonii F4458		missing
Candida duobushaemulonii F4464		missing
Candida duobushaemulonii F4490		missing
Candida duobushaemulonii F4560		missing
Candida duobushaemulonii F4566		missing
Candida duobushaemulonii F4572		missing
Candida duobushaemulonii F4608		missing
Candida duobushaemulonii F4616		missing
Candida duobushaemulonii F7396		missing
Chimaeribacter arupi DSM 115072	2060066.0	ena
Chlorella variabilis NC64A	554065.0	ena
Citrobacter braakii 1SBR104	57706.0	ena
Citrobacter braakii 3SWD1	57706.0	ena
Citrobacter braakii 5CP1581	57706.0	ena
Citrobacter braakii 5SBR103	57706.0	ena
Citrobacter braakii 5SBR282	57706.0	ena
Citrobacter braakii 5SWD1	57706.0	ena
Citrobacter braakii 6CP11281B	57706.0	ena
Citrobacter braakii 6STM5	57706.0	ena
Citrobacter freundii ARC3518	546.0	ena
Citrobacter freundii CIP5732	546.0	json
Citrobacter freundii PBIO701	546.0	ena
Clostridioides difficile MT1470	1496.0	ena
Clostridioides difficile MT5006	1496.0	ena
Clostridioides difficile NAPCR1	1496.0	ena
Clostridioides difficile NB95013 ATCC 43255	1496.0	json
Clostridioides difficile NB95026	1496.0	ena
Clostridioides difficile R20291	1496.0	ena
Corynebacterium diphtheriae FRC0024	1717.0	ena
Enterobacter aerogenes ATCC 13048		missing
Enterobacter aerogenes EA27		missing
Enterobacter cloacae ARC6049	550.0	ena
Enterobacter cloacae BM47	550.0	ena
Enterobacter cloacae CIP103475	550.0	json
Enterobacter cloacae LMG02783	550.0	json
Enterobacter cloacae NCTC11936	550.0	json
Enterococcus faecalis 10-1-01	1351.0	ena
Enterococcus faecalis 10-1-02	1351.0	ena
Enterococcus faecalis 10-1-04	1351.0	ena
Enterococcus faecalis 10-1-05	1351.0	ena
Enterococcus faecalis 10-1-09	1351.0	ena
Enterococcus faecalis 10-1A	1351.0	ena
Enterococcus faecalis 10-2-12	1351.0	ena
Enterococcus faecalis 10-2-17	1351.0	ena
Enterococcus faecalis 10-6-41	1351.0	ena
Enterococcus faecalis 10-6-46	1351.0	ena
Enterococcus faecalis 10-6-50	1351.0	ena
Enterococcus faecalis 10-6A	1351.0	ena
Enterococcus faecalis 11-3A	1351.0	ena
Enterococcus faecalis 11-7A	1351.0	ena
Enterococcus faecalis 12-03-20	1351.0	ena
Enterococcus faecalis 12-1VP	1351.0	ena
Enterococcus faecalis 12-3-27	1351.0	ena
Enterococcus faecalis 12-7-68	1351.0	ena
Enterococcus faecalis 12-8-01	1351.0	ena
Enterococcus faecalis 13-06-51	1351.0	ena
Enterococcus faecalis 13-1-05	1351.0	ena
Enterococcus faecalis 13-1-06	1351.0	ena
Enterococcus faecalis 13-1-07	1351.0	ena
Enterococcus faecalis 13-1-08	1351.0	ena
Enterococcus faecalis 13-1-09	1351.0	ena
Enterococcus faecalis 13-1-10	1351.0	ena
Enterococcus faecalis 13-10-96	1351.0	ena
Enterococcus faecalis 13-10-98	1351.0	ena
Enterococcus faecalis 13-1VP	1351.0	ena
Enterococcus faecalis 13-2-13	1351.0	ena
Enterococcus faecalis 13-2-16	1351.0	ena
Enterococcus faecalis 13-2-17	1351.0	ena
Enterococcus faecalis 13-2-19	1351.0	ena
Enterococcus faecalis 1603244	1351.0	ena
Enterococcus faecalis 1603442	1351.0	ena
Enterococcus faecalis AR-0780	1351.0	ena
Enterococcus faecalis AR00-128	1351.0	ena
Enterococcus faecalis AR00-36	1351.0	ena
Enterococcus faecalis AR01-1155	1351.0	ena
Enterococcus faecalis AR01-673	1351.0	ena
Enterococcus faecalis AR01-802	1351.0	ena
Enterococcus faecalis AR01-912	1351.0	ena
