NIK1 SLN1
adeS phoR
arcB baeS
arcB barA
arcB basR
arcB cheA
arcB cpxA
arcB creC
arcB cusS
arcB envZ
arcB evgS
arcB glnL
arcB narQ
arcB narX
arcB phoQ
arcB phoR
arcB qseC
arcB rcsC
arcB rstB
arcB torS
arcB zraS
atoS rcsC
atoS zraS
baeS barA
baeS basR
baeS cpxA
baeS evgS
baeS glnL
baeS narX
baeS rcsC
baeS rstB
baeS torS
barA basR
barA cpxA
barA creC
barA cusS
barA envZ
barA evgS
barA glnL
barA narQ
barA phoQ
barA phoR
barA pmrB
barA qseC
barA rcsC
barA rstB
barA torS
barA zraS
basR cpxA
basR creC
basR cusS
basR envZ
basR evgS
basR glnL
basR phoQ
basR phoR
basR qseC
basR rstB
basR torS
basR zraS
bfmS phoR
cheA glnL
cheA narX
cheA phoR
cheA rstB
cpxA cusS
cpxA envZ
cpxA evgS
cpxA narX
cpxA rstB
creC evgS
creC phoR
creC torS
cusS dcuS
cusS evgS
cusS narX
cusS rcsC
cusS torS
cusS zraS
dctS kinE
dcuS evgS
dcuS narQ
dcuS narX
dcuS phoQ
dcuS torS
dcuS uhpB
desK liaS
desK lytS
desK phoR
desK spo0B
desK walK
desK yesM
desK yvfT
envZ evgS
envZ narX
envZ phoQ
envZ phoR
envZ rstB
evgS glnL
evgS phoQ
evgS phoR
evgS qseC
evgS rcsC
evgS rstB
evgS torS
evgS zraS
glnL narQ
glnL narX
glnL phoQ
glnL phoR
glnL pmrB
glnL rcsC
glnL rstB
glnL torS
kinA kinE
kinB kinC
kinB kinD
kinB kinE
kinB phoR
kinB resE
kinB spo0B
kinC kinD
kinC kinE
kinC resE
kinC spo0B
kinD kinE
kinD spo0B
kinE spo0B
liaS walK
lytS phoR
lytS yesM
narQ narX
narQ torS
narX phoQ
narX phoR
narX rstB
narX torS
phoQ phoR
phoQ rcsC
phoQ rstB
phoR rcsC
phoR resE
phoR torS
phoR walK
phoR yesM
pmrB qseC
pmrB rcsC
qseC torS
rcsC rstB
rcsC torS
resE walK
resE yclK
rstB torS
torS zraS
yhcY yvfT
yvfT yvrG
