ADE12 ISN1
AGM1 PGM2
CDC19 CYR1
CDC19 ENO1
CDC19 FAS2
CDC19 IDP1
CDC19 ILV2
CDC19 PDC11
CDC19 PDC12
ENO1 IDH2
ENO1 IPP1
ENO1 PDC11
ENO1 PDC12
ENO1 PGM2
HIS1 LEU2
HIS1 PRS1
HIS1 PRS5
HIS1 SER2
IDH1 IDH2
IDH1 IDP1
IDH1 IDP2
IDH1 LSC2
IDH1 LYS12
IDH2 IDP1
IDH2 IDP2
IDH2 LSC2
IDP1 IDP2
IDP1 LSC2
IDP1 LYS12
IDP2 LSC2
ILV2 LEU2
ILV2 LSC2
ILV2 LYS12
LSC2 LYS12
LSC2 PGM2
LYS12 LYS5
LYS5 PPT2
PDC1 PDC2
PDC11 PDC12
PGM2 PRS1
PGM2 PRS5
PRS1 PRS5
aceE ackA
aceE dxs
aceE eno
aceE ilvB
aceE ilvI
aceE poxB
aceE ppc
aceE pykF
aceE rpoC
aceE sucC
ackA alsS
ackA eno
ackA fbp
ackA glcB
ackA icd
ackA poxB
ackA ppc
ackA pyk
ackA xylA
acpS glmM
acpT entD
alsS icd
alsS ilvB
alsS ilvC
alsS ilvD
alsS iolD
alsS leuB
alsS pyk
alsS ycsA
aroK aroL
aroK lysS
aroK menF
aroK pheT
aroK phnX
aroK pyk
aroK pykF
aroK topB
aroK trpD
aroL menF
aroL pheT
aroL pykF
aroL trpD
bioD bioW
bioD pdxA
bioD ribBA
bioD thiE
bioD thiL
cca glmM
cca lysS
cca panB
cca rnt
citE sucC
cof ybiV
cof ybjI
cpsG pgm
cpsG wecA
deoB pgm
deoB pyk
deoB pykF
dgoD gudD
dgoD rhmD
dgt pykF
dinB fosB
dinB icd
dinB recB
dinB ruvC
dmlA icd
dmlA ilvB
dmlA ilvC
dmlA ilvD
dmlA ilvI
dmlA oxc
dmlA poxB
dmlA sucC
dmlA trpD
dnaQ ruvC
dut gpt
dut nfi
dut pyrE
dut recB
dut ruvC
dut upp
dxs fni
dxs ispU
dxs menD
dxs menF
dxs panB
dxs pdxA
dxs pyrE
dxs ribB
dxs ribBA
dxs thiE
