acs mglB
cheA cheB
cheA cheC
cheA cheD
cheA cheV
cheA cheW
cheA cheY
cheA cheZ
cheA fliG
cheA fliJ
cheA fliL
cheA fliN
cheA fliY
cheA mcpA
cheA mcpB
cheA mcpC
cheA motA
cheA tap
cheA tar
cheA tlpA
cheA tlpB
cheA tlpC
cheA trg
cheA tsr
cheB cheC
cheB cheD
cheB cheV
cheB cheW
cheB fliG
cheB fliJ
cheB fliL
cheB fliY
cheB mcpA
cheB mcpB
cheB mcpC
cheB motA
cheB tlpA
cheB tlpB
cheB tlpC
cheC cheD
cheC cheV
cheC cheW
cheC fliG
cheC fliJ
cheC fliL
cheC fliY
cheC mcpA
cheC mcpB
cheC mcpC
cheC tlpA
cheC tlpB
cheC tlpC
cheD cheV
cheD cheW
cheD cheZ
cheD fliG
cheD fliJ
cheD fliL
cheD fliN
cheD fliY
cheD mcpA
cheD mcpB
cheD mcpC
cheD motA
cheD tlpA
cheD tlpB
cheD tlpC
cheV cheW
cheV fliG
cheV fliJ
cheV fliL
cheV fliY
cheV mcpA
cheV mcpB
cheV motA
cheV tlpA
cheV tlpB
cheV tlpC
cheW cheY
cheW cheZ
cheW fliG
cheW fliJ
cheW fliL
cheW fliN
cheW fliY
cheW mcpA
cheW mcpB
cheW mcpC
cheW motA
cheW tap
cheW tar
cheW tlpA
cheW tlpB
cheW tlpC
cheW trg
cheW tsr
cheY cheZ
cheY fliG
cheY fliJ
cheY fliL
cheY fliN
cheY motA
cheY motB
cheY tap
cheY tar
cheY trg
cheY tsr
cheZ fliG
cheZ fliJ
cheZ fliL
cheZ fliN
cheZ motA
cheZ motB
cheZ tap
cheZ tar
cheZ trg
cheZ tsr
fliG fliJ
fliG fliL
fliG fliN
fliG fliY
fliG mcpA
fliG mcpB
fliG motA
fliG motB
fliG tap
fliG tar
fliG tlpA
fliG tlpB
fliG tlpC
fliG trg
fliG tsr
fliJ fliL
fliJ fliN
fliJ fliY
fliJ mcpA
fliJ mcpB
fliJ motA
fliJ tar
fliJ tsr
fliL fliN
fliL fliY
fliL mcpA
fliL mcpB
fliL mcpC
fliL motA
fliL motB
fliL tar
fliL tlpB
fliL tlpC
fliL tsr
fliN motA
fliN motB
fliN tap
fliN tar
fliN tsr
fliY mcpA
fliY mcpB
fliY mcpC
fliY motA
fliY tlpA
fliY tlpB
fliY tlpC
mcpA mcpB
mcpA mcpC
mcpA motA
mcpA tlpA
mcpA tlpB
mcpA tlpC
mcpB mcpC
mcpB motA
mcpB tlpA
mcpB tlpB
mcpB tlpC
mcpC motA
mcpC tlpA
mcpC tlpB
mcpC tlpC
mglB trg
motA motB
motA tap
motA tar
motA tlpA
motA tlpB
motA tlpC
motA trg
motA tsr
tap tar
tap trg
tap tsr
tar trg
tar tsr
tlpA tlpB
tlpB tlpC
trg tsr
