AAH1 RPN4
ACE2 ARG81
ACE2 ASH1
ACE2 BCR1
ACE2 BRG1
ACE2 CZF1
ACE2 GZF3
ACE2 NRG1
ACE2 ROB1
ACE2 SFU1
ACE2 STB5
ACE2 TAC1
ACE2 UME6
ADA2 CAS5
ADA2 FGR27
ADA2 HIT1
ADA2 NOT4
ADA2 ZCF28
ADA2 ZCF39
ADAEC RPC11
ADAEC SUA71
ADH1 ADH2
ADH1 FBA1
ADH1 FDH3
ADH1 GAL4
ADH1 IFE2
ADH2 FBA1
ADH2 FDH3
ADH5 FDH3
ADH5 IFE2
ADH5 XYL2
ADH5 ZCF26
ADR1 CAT8
AGE2 AGE3
AGE3 GLO3
AHR1 BRG1
AHR1 CZF1
AHR1 NRG1
AHR1 WOR3
AHR1 WOR4
AHR1 ZCF3
APE2 ECM14
APE2 LAP4
APE2 LKH1
APN1 FPG1
APN1 RAD14
APN1 RAD32
APN1 REV3
APN1 ZCF24
ARG81 DAL81
ARG81 FGR27
ARG81 LEU3
ARG81 MRR2
ARG81 SUC1
ARG81 TRY2
ARG81 UGA33
ARG81 UME7
ARG81 WAR1
ARG81 ZCF25
ARG81 ZCF28
ARG81 ZCF39
ARG81 ZFU2
ARO80 CAT8
ARO80 LEU3
ARO80 RIM101
ARO80 SEF1
ARO80 UGA3
ARO80 ZCF29
ASH1 ZCF17
BCR1 BRG1
BCR1 CZF1
BCR1 GAL4
BCR1 GZF3
BCR1 NRG1
BCR1 ROB1
BCR1 UME6
BRE1 RAD18
BRG1 CAS5
BRG1 CZF1
BRG1 GAL4
BRG1 NRG1
BRG1 RIM101
BRG1 ROB1
BRG1 UME6
BRG1 WOR2
BRG1 WOR3
BRG1 WOR4
CAS5 LEU3
CAS5 PZF1
CAS5 RIM101
CAS5 ZCF39
CAS5 ZCF8
CAT8 MIG1
COX4 GLO1
CRZ1 PKC1
CRZ1 RIM101
CRZ1 STB5
CRZ1 TAC1
CRZ2 RIM101
CRZ2 SFU1
CRZ2 TRY4
CRZ2 ZCF28
CRZ2 ZCF8
CRZ2 ZFU2
CSR1 GAT1
CSR1 PRA1
CSR1 RIM101
CSR1 SFU1
CSR1 STB5
CSR1 TAC1
CSR1 ZCF17
CSR1 ZRT1
CSR1 ZRT2
CTA4 CWT1
CTA4 MNL1
CTA7 WOR4
CTA7 ZCF13
CTA7 ZCF14
CTA7 ZCF31
CTA7 ZCF39
CTA7 ZCF6
CTA7 ZFU2
CTF1 ZCF6
CWT1 SUC1
CWT1 ZCF18
CZF1 FGR27
CZF1 GZF3
CZF1 NRG1
CZF1 ROB1
CZF1 UME6
CZF1 WOR2
CZF1 WOR3
CZF1 WOR4
DAL81 FGR27
DAL81 GAT1
DAL81 GLN3
DAL81 GZF3
DAL81 LEU3
DAL81 PUT3
DAL81 STP2
DAL81 SUC1
DAL81 TRY2
DAL81 UGA33
DAL81 WAR1
DAL81 ZCF28
DAL81 ZCF30
DAL81 ZCF39
DBF4 MCM2
DBF4 POL1
DBF4 POL2
DBF4 PRR2
DBF4 RFA1
ECM14 LAP4
ECM22 PPR1
FAB1 PEP7
FAB1 VPS27
FAR1 HRT1
FAR1 RME1
FBA1 FBP1
FBA1 MET6
FBA1 XYL2
FBP1 PMI1
FCA1 GLO1
FCR1 IFE1
FCR1 POL3
FGR17 LYS142
FGR17 PPR1
FGR17 PZF1
FGR17 SUA71
FGR17 SUA72
FGR17 UME7
FGR17 ZCF14
FGR17 ZCF38
FGR17 ZCF9
FGR17 ZSF1
FGR27 LEU3
FGR27 MRR2
FGR27 SUC1
FGR27 TRY2
FGR27 TRY3
FGR27 UGA33
FGR27 WAR1
FGR27 ZCF18
FGR27 ZCF22
FGR27 ZCF28
FGR27 ZCF31
FGR27 ZCF39
FGR27 ZFU2
GAL4 GAL7
GAL4 NRG1
GAL4 PPR1
GAL4 RGT1
GAL4 ROB1
GAT1 RIM101
GAT1 SFU1
GAT1 TAC1
GAT1 UGA3
GAT1 WOR4
GLN3 GZF3
GLN3 MNL1
GLN3 STP2
GZF3 ROB1
GZF3 UME6
HAL9 MNL1
HAL9 MRR2
HAL9 MSN4
HAL9 PEP3
HAL9 STB5
HAL9 UME7
HIT1 TRY5
HRT1 RAD18
HRT1 SIZ1
IFE1 IFE2
IFE1 NCE103
IFE2 XYL2
IFE2 ZSF1
LEU3 MRR2
LEU3 SUC1
LEU3 TRY2
LEU3 UGA33
LEU3 WAR1
LEU3 ZCF28
LEU3 ZCF30
LEU3 ZCF39
LEU3 ZFU2
LYS14 ZCF21
LYS14 ZCF8
LYS142 SUA71
LYS142 SUA72
LYS142 ZCF9
LYS144 SEF1
LYS144 ZCF27
LYS144 ZCF8
MCM2 POL1
MCM2 POL2
MCM2 POL3
MCM2 PRR2
MCM2 REV3
MCM2 RFA1
MDJ1 YDJ1
MIG1 RGT1
MIG1 RIM101
MIG1 ZCF14
MMS21 RAD14
MMS21 RAD18
MMS21 SIZ1
MNL1 MSN4
MNL1 RIM101
MNL1 SFP1
MNL1 STB5
MNL1 WAR1
MRR2 SUC1
MRR2 TAC1
MRR2 TRY2
MRR2 UGA33
MRR2 WAR1
MRR2 ZCF1
MRR2 ZCF28
MRR2 ZCF39
MRR2 ZFU2
MSN4 SFP1
MSN4 STB5
MSN4 WAR1
NAM7 PRP22
NRG1 RIM101
NRG1 ROB1
NRG1 UBR1
NRG1 UME6
NRP1 RPA135
OFI1 PPR1
OFI1 PZF1
OFI1 UME7
OFI1 ZCF14
OFI1 ZCF25
OFI1 ZCF38
PEP7 VPS27
PEX12 PEX2
PHO23 SAS2
PHO23 SAS3
PKC1 RIM101
POL1 POL2
POL1 POL3
POL1 RAD32
POL1 REV3
POL1 RFA1
POL2 POL3
POL2 RAD14
POL2 RAD18
POL2 RAD32
POL2 REV3
POL3 RAD18
POL3 RAD32
POL3 REV3
POL3 RFA1
POL3 WAR1
PPR1 PUT3
PPR1 PZF1
PPR1 UME7
PPR1 ZCF14
PPR1 ZCF20
PPR1 ZCF25
PPR1 ZCF38
