AAP1 HNM3
ADP1 ATP2
ADP1 YCF1
AGP2 GNP1
AGP3 GAP2
ALG7 KAR2
ALG7 MNT3
ALG7 RER2
ALG7 SRT1
ALI1 ATP2
ALI1 NDH51
ALI1 NUC2
ALI1 NUO2
ALI1 QCR2
ALK8 DES1
ALK8 FAD2
ALK8 SCS7
ANT1 FAA21
APE2 EFT2
APE2 ENO1
ASG7 HST6
ATG15 ATG9
ATG15 DPP1
ATG15 DPP2
ATG15 DPP3
ATG15 FAA2
ATG15 FAA2-1
ATG15 FAA2-3
ATG15 FAA21
ATG15 VPS70
ATP2 CUP5
ATP2 NUF2
ATP2 PET9
ATP2 PHB1
ATP2 PMA1
ATP2 POR1
ATP2 QCR2
ATP2 VMA11
ATP2 VMA7
AXL2 GPI1
AXL2 MYO2
AXL2 WSC2
BEM2 CDC42
BEM2 RAC1
BMT4 KAR2
BMT4 MNN4
BMT9 DFI1
CAN1 GAP2
CAN1 GAP4
CAN1 PMA1
CAN1 SUR7
CAN2 GAP2
CAN2 PMA1
CAN3 FLC2
CCC2 LAC1
CDC42 DCK1
CDC42 LMO1
CDC42 MRR2
CDC42 MYO2
CDC42 OPY2
CDC42 PIKA
CDC42 RDI1
CDR1 ECE1
CDR1 ERG11
CDR1 ERG3
CDR1 HSP90
CDR1 IFU5
CDR1 MLT1
CDR1 MRR2
CDR1 RTA3
CDR2 ECE1
CDR2 ERG11
CDR2 ERG3
CDR2 IFU5
CDR2 RTA3
CDR3 GIT2
CHS1 FGR29
CHS1 PGA38
CHS1 TRP5
CPH2 ECE1
CPH2 NCR1
CUP5 VMA11
CUP5 VMA7
CUP5 VPS70
DAL7 FGR2
DAL7 GAP2
DAL7 GPT1
DAP1 ERG11
DAP1 RNR22
DCK1 ECE1
DCK1 HGT2
DCK1 LMO1
DCK1 RAC1
DES1 HSX11
DES1 LAC1
DES1 LAG1
DES1 LCB2
DES1 LCB4
DES1 SCS7
DES1 SLD1
DNM1 POR1
DPP1 DPP2
DPP1 DPP3
DPP1 LPT1
DPP1 SCT1
DPP1 SCT2
DPP1 VMA7
DPP2 DPP3
DPP2 LPT1
DPP2 SCT1
DPP2 SCT2
DPP2 VMA7
DPP3 LPT1
DPP3 SCT1
DPP3 SCT2
DPP3 VMA7
ECE1 HGT10
ECI1 FAA2
ECI1 FAA2-1
ECI1 FAA21
ECI1 HGT1
ECI1 HGT13
ECI1 HGT2
EFT2 ENO1
EFT2 KAR2
EFT2 MSS4
EFT2 RPL16A
EFT2 RPL4B
EFT2 RPL6
EFT2 RPS5
EFT2 SSA2
EFT2 TRK1
ENO1 GAP1
ENO1 LCB4
ENO1 PMA1
ENO1 RPL4B
ENO1 SSA2
ERG11 ERG3
ERG11 HSP90
ERG11 PMA1
ERG11 SCS7
ERG3 SCS7
ERG3 SLD1
ERP5 SFT1
FAA2 FAA2-1
FAA2 FAA2-3
FAA2 FAA21
FAA2 SRT1
FAA2-1 FAA2-3
FAA2-1 FAA21
FAA2-3 FAA21
FAD3 SLD1
FGR2 GIT1
FGR2 GPT1
FGR42 GPI19
FLC1 HNM4
FLC1 ZCF16
FLC3 LYP1
FLC3 PHO86
FMO2 HGT2
FUS1 HSP90
FUS1 HST6
FUS1 KAR2
FUS1 SNL1
FUS1 TRP5
GAP1 UGA4
GAP2 SSY1
GAP2 UGA4
GAP5 UGA4
GAP6 TGL99
GDA1 MNT1
GIT2 HGT13
GIT2 HGT16
GIT2 TLO11
GNP3 HNM4
GPI1 GPI19
GPT1 HGT19
GPT1 SEO1
HAK1 HSX11
HAK1 TRK1
HAL9 MRR2
HGT1 HGT14
HGT1 HGT19
HGT1 HGT2
HGT1 HGT20
HGT1 HXT5
HGT13 HGT17
HGT13 HGT19
HGT13 HGT2
HGT17 HGT19
HGT17 HGT2
HGT17 MAL31
HGT19 HGT2
HGT19 HGT5
HGT19 ITR1
HGT2 HXT5
HGT2 MRV2
HGT3 HGT5
HGT3 NCR1
HGT4 SSY1
HGT6 RNR22
HGT9 HST6
HNM3 SEO1
HNM4 YPS7
HRQ2 MLT1
HRQ2 YCF1
HSP90 KAR2
HSP90 SGT2
HSP90 SSA2
HST6 MLT1
HST6 PIKA
HST6 YCF1
HSX11 LAC1
HSX11 LCB2
HSX11 SCS7
HSX11 SLD1
HSX11 TRP5
HXT5 PUT4
IFU5 KAR2
IFU5 LCB4
IFU5 RPL16A
IFU5 RTA3
INP51 MSS4
INP51 PIKA
IPT1 LCB4
IPT1 MIT1
IRE1 KAR2
IST2 OBPA
KAR2 PMA1
KAR2 POR1
KAR2 SEC62
KAR2 SNL1
KAR2 SSA2
LAC1 LAG1
LAC1 LCB2
LAC1 LCB4
LAC1 SCS7
LAG1 LCB2
LAG1 LCB4
LAG1 SCS7
LCB2 LCB4
LCB2 PMA1
LCB2 SCS7
LCB2 TRP5
LCB4 RTA3
LCB4 SCS7
LCB4 TIM54
LMO1 RAC1
LPT1 SCT1
LPT1 SCT2
MCU1 PET9
MCU1 POR1
MCU1 TGL99
MIT1 SCS7
MLT1 YCF1
MNN26 MNT1
MNN4 MNS1
MNN4 MNT1
MNN4 MNT3
MNS1 MNT1
MNS1 PMT2
MNT1 MNT3
MNT1 PMT2
MRR2 RAC1
