PRS1 PRS5
agaB chbB
agaB manX
agaV chbB
agaV manX
anmK murP
ascF bglF
ascF chbB
ascF cmtB
ascF crr
ascF manX
ascF mtlA
ascF murP
ascF nagE
ascF ptsG
ascF ptsI
ascF treB
ascF ulaC
bglF chbB
bglF frlD
bglF manX
bglF murP
bglF nagE
bglF ptsG
bglF ptsI
bglF treB
bglF ulaB
bglF yihV
bglP frlD
bglP gmuE
bglP kdgK
bglP levD
bglP levE
bglP levR
bglP licB
bglP malP
bglP manP
bglP mtlF
bglP ptsG
bglP sacX
bglP treP
bglP ydjE
bglP ypqE
chbB manX
chbB mtlA
chbB murP
chbB nagE
chbB ptsG
chbB treB
cmtB gatA
cmtB mtlA
cmtB ulaB
crr manX
crr mtlA
crr murP
crr ptsG
crr ptsI
crr ptsP
crr treB
frlD kdgK
frlD nagE
frlD ptsG
frlD pyk
frlD yihV
gatA manX
gatA srlB
gatA ulaC
gmuB gmuE
gmuB levR
gmuB licB
gmuB manP
gmuB treP
gmuB ydjE
gmuE levD
gmuE levE
gmuE malP
gmuE manP
gmuE ptsG
gmuE pyk
gmuE sacX
gmuE treP
gmuE ydjE
gmuE ypqE
kdgK ptsG
kdgK pyk
levD levE
levD levR
levD manP
levD mtlF
levD ptsG
levD treP
levD ydjE
levD ypqE
levE levR
levE manP
levE mtlF
levE treP
levE ydjE
levR licB
levR mtlF
licB malP
malP manP
malP mtlF
malP ptsG
malP pyk
malP treP
malP ypqE
manP mtlF
manP ptsG
manP sacX
manP treP
manP ydjE
manP ypqE
manX murP
manX nagE
manX ptsG
manX ptsI
manX ptsN
manX treB
mtlA ptsI
mtlA ptsN
mtlA srlB
mtlA ulaC
mtlF ptsG
murP nagE
murP ptsG
murP treB
nagE ptsG
nagE ptsI
nagE ptsP
nagE treB
nagE yihV
pckA pgk
pckA pyk
pckA pykF
pgk ptsI
pgk pykF
ppdK pyk
ptsG ptsI
ptsG pyk
ptsG sacX
ptsG treB
ptsG treP
ptsG ydjE
ptsG ypqE
ptsI ptsN
ptsI treB
ptsN ptsP
ptsP pyk
pyk sacX
pyk ydjE
pyk yvkC
pykF relA
pykF spoT
relA spoT
relA yjbM
sacX ypqE
treP ypqE
ulaB ulaC
