MRPL6 RPL25
NEP1 RPS5
NEP1 RPS9B
NOP6 SSF1
RAT1 SPT5
RPF2 SSF1
RPL25 RPL37B
RPL25 RPL9B
RPL25 RPS42
RPL25 RPS5
RPL25 RPS9B
RPL37B RPL9B
RPL37B RPS5
RPL37B RPS9B
RPL9B RPS5
RPL9B RPS9B
RPS42 RPS5
RPS42 RPS9B
RPS4A RPS5
RPS4A RPS9B
RPS5 RPS9B
abc-f rplA
abc-f rplB
abc-f rplC
abc-f rplD
abc-f rplE
abc-f rplF
abc-f rplO
abc-f rplP
abc-f rplT
abc-f rplU
abc-f rplV
abc-f rplW
abc-f rplX
abc-f rpsC
abc-f rpsD
abc-f rpsE
abc-f rpsG
abc-f rpsH
abc-f rpsK
abc-f rpsL
abc-f rpsM
abc-f rpsO
abc-f rpsQ
abc-f rpsS
era rplI
era rpsE
era rpsG
era rpsK
era rpsL
era rpsO
ettA rplA
ettA rplB
ettA rplC
ettA rplD
ettA rplE
ettA rplF
ettA rplO
ettA rplP
ettA rplT
ettA rplU
ettA rplV
ettA rplW
ettA rplX
ettA rpmE
ettA rpsC
ettA rpsD
ettA rpsE
ettA rpsG
ettA rpsH
ettA rpsK
ettA rpsL
ettA rpsM
ettA rpsN
ettA rpsO
ettA rpsQ
ettA rpsS
ettA typA
hslR rplB
hslR rplC
hslR rplD
hslR rplE
hslR rplF
hslR rplI
hslR rplO
hslR rplP
hslR rplT
hslR rplU
hslR rplV
hslR rplW
hslR rplX
infA rplA
infA rplB
infA rplC
infA rplD
infA rplE
infA rplF
infA rplJ
infA rplO
infA rplP
infA rplT
infA rplU
infA rplV
infA rplW
infA rplX
infA rpsC
infA rpsD
infA rpsE
infA rpsG
infA rpsH
infA rpsK
infA rpsL
infA rpsM
infA rpsN
infA rpsO
infA rpsQ
infA rpsS
mrnC rnmV
mrnC rplB
mrnC rplC
mrnC rplD
mrnC rplE
mrnC rplF
mrnC rplO
mrnC rplP
mrnC rplT
mrnC rplU
mrnC rplV
mrnC rplW
mrnC rplX
mutSB rplB
mutSB rplC
mutSB rplD
mutSB rplE
mutSB rplF
mutSB rplI
mutSB rplO
mutSB rplP
mutSB rplT
mutSB rplU
mutSB rplV
mutSB rplW
mutSB rplX
mutSB rpsC
mutSB rpsD
mutSB rpsE
mutSB rpsG
mutSB rpsH
mutSB rpsK
mutSB rpsL
mutSB rpsM
mutSB rpsO
mutSB rpsQ
mutSB rpsS
rlmN rplA
rlmN rplV
rlmN rpsQ
rlmN rsgA
rnc rnmV
rnc rplB
rnc rplC
rnc rplD
rnc rplE
rnc rplF
rnc rplI
rnc rplO
rnc rplP
rnc rplT
rnc rplU
rnc rplV
rnc rplX
rnc rpsD
rnc rpsE
rnc rpsG
rnc rpsH
rnc rpsK
rnc rpsL
rnc rpsM
rnc rpsN
rnc rpsO
rnc rpsQ
rne rpsO
rng rpsO
rng rpsS
rplA rplB
rplA rplC
rplA rplD
rplA rplE
rplA rplF
rplA rplI
rplA rplJ
rplA rplO
rplA rplP
rplA rplT
rplA rplU
rplA rplV
rplA rplW
rplA rplX
rplA rpmE
rplA rpsC
rplA rpsD
rplA rpsE
rplA rpsG
rplA rpsH
rplA rpsK
rplA rpsL
rplA rpsM
rplA rpsN
rplA rpsO
rplA rpsQ
rplA rpsS
rplA smrB
rplA typA
rplA vmlR
rplB rplC
rplB rplD
rplB rplE
rplB rplF
rplB rplI
rplB rplJ
rplB rplO
rplB rplP
rplB rplT
rplB rplU
rplB rplV
rplB rplW
rplB rplX
rplB rpmE
rplB rpsC
rplB rpsD
rplB rpsE
rplB rpsG
rplB rpsH
rplB rpsK
rplB rpsL
rplB rpsM
rplB rpsN
rplB rpsO
rplB rpsQ
rplB rpsS
rplB smrB
rplB typA
rplB vmlR
rplB yjgA
rplC rplD
rplC rplE
rplC rplF
rplC rplI
rplC rplJ
rplC rplO
rplC rplP
rplC rplT
rplC rplU
rplC rplV
rplC rplW
rplC rplX
rplC rpmE
rplC rpsC
rplC rpsD
rplC rpsE
rplC rpsG
rplC rpsH
rplC rpsK
rplC rpsL
rplC rpsM
rplC rpsN
rplC rpsO
rplC rpsQ
rplC rpsS
rplC smrB
rplC typA
rplC vmlR
rplC yjgA
rplD rplE
rplD rplF
rplD rplI
rplD rplJ
rplD rplO
rplD rplP
rplD rplT
rplD rplU
rplD rplV
rplD rplW
rplD rplX
rplD rpmE
rplD rpsC
rplD rpsD
rplD rpsE
rplD rpsG
rplD rpsH
rplD rpsK
rplD rpsL
rplD rpsM
rplD rpsN
rplD rpsO
rplD rpsQ
rplD rpsS
rplD smrB
rplD typA
rplD vmlR
rplD yjgA
rplE rplF
rplE rplI
rplE rplJ
rplE rplO
rplE rplP
rplE rplT
rplE rplU
rplE rplV
rplE rplW
rplE rplX
rplE rpmE
rplE rpsC
rplE rpsD
rplE rpsE
rplE rpsG
rplE rpsH
rplE rpsK
rplE rpsL
rplE rpsM
rplE rpsN
rplE rpsO
rplE rpsQ
rplE rpsS
rplE smrB
rplE typA
rplE vmlR
rplE yjgA
rplF rplI
rplF rplJ
rplF rplO
rplF rplP
rplF rplT
rplF rplU
rplF rplV
rplF rplW
rplF rplX
rplF rpmE
rplF rpsC
rplF rpsD
rplF rpsE
rplF rpsG
rplF rpsH
rplF rpsK
rplF rpsL
rplF rpsM
rplF rpsN
rplF rpsO
rplF rpsQ
rplF rpsS
rplF smrB
rplF vmlR
rplF yjgA
rplI rplJ
rplI rplO
rplI rplP
rplI rplT
rplI rplU
rplI rplV
rplI rplW
rplI rplX
rplI rpmE
rplI rpsC
rplI rpsD
rplI rpsE
rplI rpsG
rplI rpsH
rplI rpsK
rplI rpsL
rplI rpsM
rplI rpsN
rplI rpsO
rplI rpsQ
rplI rpsS
rplI smrB
rplI yjgA
rplJ rplO
rplJ rplP
rplJ rplT
rplJ rplU
rplJ rplV
rplJ rplW
rplJ rpmE
rplJ rpsC
rplJ rpsE
rplJ rpsG
rplJ rpsL
rplJ rpsM
rplJ rpsN
rplJ rpsO
rplJ rpsQ
rplJ rpsS
rplO rplP
rplO rplT
rplO rplU
rplO rplV
rplO rplW
rplO rplX
rplO rpmE
rplO rpsC
rplO rpsD
rplO rpsE
rplO rpsG
rplO rpsH
rplO rpsK
rplO rpsL
rplO rpsM
rplO rpsN
rplO rpsO
rplO rpsQ
rplO rpsS
rplO smrB
rplO vmlR
rplO yjgA
rplP rplT
rplP rplU
rplP rplV
rplP rplW
rplP rplX
rplP rpmE
rplP rpsC
rplP rpsD
rplP rpsE
rplP rpsG
rplP rpsH
rplP rpsK
rplP rpsL
rplP rpsM
rplP rpsN
rplP rpsO
rplP rpsQ
rplP rpsS
rplP smrB
rplP vmlR
rplP yjgA
rplT rplU
rplT rplV
rplT rplW
rplT rplX
rplT rpmE
rplT rpsC
rplT rpsD
rplT rpsE
rplT rpsG
rplT rpsH
rplT rpsK
rplT rpsL
rplT rpsM
rplT rpsN
rplT rpsO
rplT rpsQ
rplT rpsS
rplT smrB
rplT vmlR
rplT yjgA
rplU rplV
rplU rplW
rplU rplX
rplU rpmE
rplU rpsC
rplU rpsD
rplU rpsE
rplU rpsG
rplU rpsH
rplU rpsK
rplU rpsL
rplU rpsM
rplU rpsN
rplU rpsO
rplU rpsQ
rplU rpsS
rplU smrB
rplU typA
rplU vmlR
rplU yjgA
rplV rplW
rplV rplX
rplV rpmE
rplV rpsC
rplV rpsD
rplV rpsE
rplV rpsG
rplV rpsH
rplV rpsK
rplV rpsL
rplV rpsM
rplV rpsN
rplV rpsO
rplV rpsQ
rplV rpsS
rplV smrB
rplV vmlR
rplV yjgA
rplW rplX
rplW rpmE
rplW rpsC
rplW rpsD
rplW rpsE
rplW rpsG
rplW rpsH
rplW rpsK
rplW rpsL
rplW rpsM
rplW rpsN
rplW rpsO
rplW rpsQ
rplW rpsS
rplW smrB
rplW vmlR
rplW yjgA
rplX rpmE
rplX rpsC
rplX rpsD
rplX rpsE
rplX rpsG
rplX rpsH
rplX rpsK
rplX rpsL
rplX rpsM
rplX rpsN
rplX rpsO
rplX rpsQ
rplX rpsS
rplX smrB
rplX vmlR
rplX yjgA
rpmE rpsC
rpmE rpsD
rpmE rpsG
rpmE rpsH
rpmE rpsK
rpmE rpsL
rpmE rpsM
rpmE rpsN
rpmE rpsO
rpmE rpsQ
rpmE rpsS
rpmE smrB
rpmE yjgA
rpsC rpsD
rpsC rpsE
rpsC rpsG
rpsC rpsH
rpsC rpsK
rpsC rpsL
rpsC rpsM
rpsC rpsN
rpsC rpsO
rpsC rpsQ
rpsC rpsS
rpsC rsgA
rpsC smrB
rpsC vmlR
rpsD rpsE
rpsD rpsG
rpsD rpsH
rpsD rpsK
rpsD rpsL
rpsD rpsM
rpsD rpsN
rpsD rpsO
rpsD rpsQ
rpsD rpsS
rpsD rsgA
rpsD smrB
rpsD typA
rpsD vmlR
rpsE rpsG
rpsE rpsH
rpsE rpsK
rpsE rpsL
rpsE rpsM
rpsE rpsN
rpsE rpsO
rpsE rpsQ
rpsE rpsS
rpsE rsgA
rpsE smrB
rpsE typA
rpsE vmlR
rpsG rpsH
rpsG rpsK
rpsG rpsL
rpsG rpsM
rpsG rpsN
rpsG rpsO
rpsG rpsQ
rpsG rpsS
rpsG rsgA
rpsG smrB
rpsG vmlR
rpsH rpsK
rpsH rpsL
rpsH rpsM
rpsH rpsN
rpsH rpsO
rpsH rpsQ
rpsH rpsS
rpsH rsgA
rpsH vmlR
rpsK rpsL
rpsK rpsM
rpsK rpsN
rpsK rpsO
rpsK rpsQ
rpsK rpsS
rpsK rsgA
rpsK smrB
rpsK typA
rpsK vmlR
rpsL rpsM
rpsL rpsN
rpsL rpsO
rpsL rpsQ
rpsL rpsS
rpsL rsgA
rpsL smrB
rpsL vmlR
rpsM rpsN
rpsM rpsO
rpsM rpsQ
rpsM rpsS
rpsM rsgA
rpsM smrB
rpsM vmlR
rpsN rpsO
rpsN rpsQ
rpsN rpsS
rpsN rsgA
rpsN smrB
rpsO rpsQ
rpsO rpsS
rpsO rsgA
rpsO smrB
rpsO vmlR
rpsQ rpsS
rpsQ rsgA
rpsQ smrB
rpsQ vmlR
rpsS rsgA
rpsS smrB
rpsS vmlR
