DAL7 FGR2
FGR2 GIT1
HOL1 QDR2
QDR2 TPO2
aaeA aaeB
aaeA emrB
aaeA emrY
aaeA macB
aaeA mdtE
aaeB tsgA
acrA acrE
acrA cusB
acrA emrB
acrA emrY
acrA macB
acrA mdtE
acrA mdtG
acrA mdtH
acrE emrB
acrE emrY
acrE ftsE
acrE macB
adeI lolD
adeI macB
alsC fecC
alsC fecD
alsC lsrC
alsC lsrD
alsC mdtO
alsC mglC
alsC rbsC
alsC xylH
alsC yjfF
araE yfkF
araE yjbB
artM artQ
artM glnP
artM gltJ
artM gltK
artM hisM
artM thiP
artQ glnP
artQ gltJ
artQ gltK
artQ hisM
artQ thiP
artQ yckA
artQ yknY
artQ ytrE
artQ yvrO
bacE pbuE
bacE yfkF
bacE yjbB
bacE yttB
bacE yvqJ
bacE ywfA
betT proX
bmr pbuE
bmr yfkF
bmr yjbB
bmr ykkD
bmr yttB
csbC csbX
csbC ywtG
csbC yybO
csbX ywtG
csbX yybO
cusB macB
cusB mdtH
ebrA ebrB
ebrA ykkC
ebrA ykkD
ebrB ykkC
ebrB ykkD
ecfT ftsE
emrB emrY
emrB macB
emrB mdtE
emrB mdtG
emrB mdtH
emrY macB
emrY mdtE
emrY mdtG
emrY mdtH
emrY mdtO
exbB exbD
exbB macB
exbB tolR
exbD fepD
exbD fepG
exbD tolR
fecC fecD
fecC fepD
fecC fepG
fecC fhuB
fecC lolD
fecC tauA
fecC thiP
fecC znuB
fecD fepD
fecD fepG
fecD fhuB
fecD lolD
fecD thiP
fecD znuB
fepD fepG
fepD fhuB
fepD lolD
fepD macB
fepD proX
fepD thiP
fepD znuB
fepG fhuB
fepG mglC
fepG proX
fepG tauA
feuB feuC
feuB fhuB
feuB fhuG
feuB yclN
feuB yclO
feuB yvrB
feuC fhuB
feuC fhuG
feuC yclN
fhuB fhuG
fhuB lolD
fhuB proX
fhuB rbsC
fhuB tauA
fhuB thiP
fhuB yclN
fhuB yclO
fhuB yjfF
fhuB yvrB
fhuB yvrN
fhuB yvrO
fhuG yclN
fhuG yclO
fhuG yvrN
fhuG yvrO
ftsE glnP
ftsE yckA
ftsE yvrN
glnP gltJ
glnP gltK
glnP hisM
glnP lolD
glnP proX
glnP thiP
glnP yjfF
glnP znuB
gltJ gltK
gltJ hisM
gltJ proX
gltJ rbsC
gltJ thiP
gltJ yjfF
gltJ znuB
gltK hisM
gltK lolD
gltK lsrC
gltK mglC
gltK proX
gltK rbsC
gltK tauA
gltK thiP
gltK yjfF
gltK znuB
lolD macB
lolD tauA
lolD thiP
lolD znuB
lsrC lsrD
lsrC mglC
lsrC rbsC
lsrC xylH
lsrC yjfF
lsrD mglC
lsrD osmF
lsrD rbsC
lsrD xylH
lsrD yjfF
lysP yodF
macB mdtE
macB mdtG
macB mdtH
macB mdtL
mdtE mdtG
mdtE mdtH
mdtE mdtL
mdtE mdtO
mdtG mdtH
mdtG mdtL
mdtG mdtO
mdtH mdtL
mdtH mdtO
mdtL mdtO
mdtO tolR
mglC rbsC
mglC xylH
mglC yjfF
opuAC opuBC
opuAC opuCC
opuAC opuD
opuBC opuCC
opuBC opuD
opuCC opuD
osmF proX
pbuE yfkF
pbuE yjbB
pbuE yttB
rbsC xylH
rbsC yjfF
shiA yeaV
sitC znuB
xylH yjfF
yckA yknY
yckA ytrE
yckA yvrO
yclH yclI
yclH ytrF
yclH yvrN
yclI yknY
yclI ytrE
yclI yvrO
yclN yclO
ycnB ywfA
yeaV yiaM
yecA yodF
yfkF yjbB
yfkF yttB
yhcA ywfA
yhjB yxlA
yiaM yiaN
yjbB yttB
ykkC ykkD
yknY ytrF
yknY yvrN
ykuC yvqJ
ytrE ytrF
ytrE yvrN
ytrF yvrN
ytrF yvrO
yubD yvkA
yubD ywoD
yuxJ ywoG
yvqJ yvrB
yvrN yvrO
ywfA ywoD
ywtG yybO
