CHO2 OPI3
COQ3 COQ5
COQ3 SAM4
CTM1 DOT1
CTM1 SET1
CTM1 SET2
DOT1 RMT2
DOT1 SET1
DOT1 SET2
HMT1 RMS1
HMT1 RMT2
HMT1 SET1
MET1 MET6
MET1 SAM4
MET6 SAM4
OPI3 RMT2
RMS1 RMT2
SET1 SET2
ada ogt
cbiD cobA
cbiD cysG
cmoM mnmC
cobA metH
cysG hemX
cysG metE
cysG metH
dam yhdJ
gcvT glyA
gcvT metH
gcvT mnmC
gcvT thyA
glyA metE
glyA metH
glyA mnmC
glyA samT
glyA thyA
glyA thyX
hemX hemY
metE metH
metE mmuM
metE samT
metE yxjG
metE yxjH
metH thyA
mnmA mnmC
mnmC prmB
mnmC rlmM
mnmC thiS
mnmC trmN
mnmC ubiG
prmA prmB
prmA prmC
prmA rlmB
prmA rlmM
prmA rsmI
prmB prmC
prmB trmN
prmC trmK
rlmB rplK
rlmB trmK
rlmB ycgJ
rlmB yodH
rlmB yrhH
rlmM trmN
samT thyA
samT yxjG
samT yxjH
trmK yqxC
ubiE ubiG
ycgJ yodH
yodH yrhH
yqxC ytqB
yxjG yxjH
