PXA1 PXA2
artM artQ
artM glnP
artM gltJ
artM gltK
artM hisM
artM oppA
artQ cysA
artQ ecfA
artQ ecfAB
artQ glnP
artQ gltJ
artQ gltK
artQ hisM
artQ potA
artQ potG
artQ tcyB
artQ yckA
artQ yxeN
artQ znuB
cysA fbpC
cysA glnP
cysA gltK
cysA gsiB
cysA potA
cysA potG
cysA pstS
cysA tauA
dppA gsiB
dppA lsrB
dppA nikA
dppA oppA
dppA osmF
dppA pstS
dppA sapA
dppE oppA
dppE thiW
ecfA ecfAB
ecfA opuAB
ecfA tcyB
ecfA thiW
ecfA yckA
ecfA yxeN
ecfA znuB
ecfAB opuAB
ecfAB opuAC
ecfAB tcyB
ecfAB thiW
ecfAB yckA
ecfAB yxeN
ecfAB znuB
fbpC lptB
fbpC potA
fbpC potG
fbpC tauA
glnP gltJ
glnP gltK
glnP hisM
glnP lptB
glnP potA
glnP potG
glnP proX
glnP znuB
gltJ gltK
gltJ hisM
gltJ lptB
gltJ mlaE
gltJ potG
gltJ proX
gltJ znuB
gltK hisM
gltK potA
gltK potG
gltK proX
gltK tauA
gltK znuB
gsiB nikA
gsiB oppA
gsiB osmF
gsiB sapA
lptB lptF
lptB lptG
lptB mlaE
lptB potA
lptB potG
lptB proW
lptB sitC
lptB znuB
lptF lptG
lptF mlaE
lptF potA
lptF potG
lptF proW
lptG mlaE
lptG potA
lptG potG
lptG proW
lptG sapA
lptG sitC
lptG znuB
lsrB osmF
lsrB proX
lsrB pstS
lsrB sapA
mlaE proX
mntC mntD
mntC oppA
mntC opuAC
mntC tcyB
mntC thiW
mntC yvfS
mntC znuB
mntD thiW
mntD znuB
nikA oppA
nikA osmF
nikA pstS
nikA sapA
nikA tauA
oppA potA
oppA pstS
oppA sapA
oppA thiW
opuAB opuAC
opuAB opuBC
opuAB opuCC
opuAB thiW
opuAC opuBC
opuAC opuCC
opuAC tcyB
opuBC opuCC
osmF potA
osmF potG
osmF proW
osmF proX
osmF pstS
osmF sapA
phnD pstS
phnD tauA
potA potG
potA proW
potA proX
potG proW
potG proX
proW proX
pstS sapA
sitC znuB
tcyB yckA
tcyB yxeN
tcyB znuB
thiW yvfS
yckA yxeN
yckA znuB
yxeN znuB
