CDR1 MDR1
acrA acrE
acrA emrA
acrA emrK
acrA emrY
acrA gyrB
acrA macA
acrA macB
acrA marA
acrA mdfA
acrA mdtE
acrA mdtG
acrA mdtH
acrA mdtM
acrA mdtN
acrA tolC
acrE emrA
acrE emrK
acrE emrY
acrE macA
acrE macB
acrE tolC
alr vanB
arnA arnB
arnA arnC
arnA arnD
arnB arnC
arnB arnD
arnC arnD
arnC bacA
arnC mdtG
bacA emrA
bacA macB
bacA mdfA
bacA mdtG
bacA mdtH
bacA mrcB
bacA tolC
bla2 fosB
emrA emrK
emrA emrY
emrA macA
emrA macB
emrA marA
emrA mdfA
emrA mdtE
emrA mdtG
emrA mdtH
emrA mdtL
emrA mdtM
emrA tolC
emrK emrY
emrK macA
emrK macB
emrK mdfA
emrK mdtE
emrK mdtG
emrK mdtH
emrK mdtL
emrK mdtM
emrK tolC
emrY macA
emrY macB
emrY marA
emrY mdfA
emrY mdtE
emrY mdtG
emrY mdtH
emrY mdtM
emrY mdtN
emrY tolC
fosB rph
fosB vmlR
fosB ybfO
gyrB macB
gyrB marA
gyrB mdfA
gyrB tolC
macA macB
macA mdfA
macA mdtG
macA mdtH
macA mdtL
macA mdtM
macA tolC
macB mdfA
macB mdtE
macB mdtG
macB mdtH
macB mdtL
macB mdtM
macB mdtN
macB tolC
marA marR
marA mdfA
marA mdtE
marA mdtM
marA tolC
mdfA mdtG
mdfA mdtH
mdfA tolC
mdtE mdtG
mdtE mdtH
mdtE mdtL
mdtE mdtM
mdtE tolC
mdtG mdtH
mdtG mdtL
mdtG mdtM
mdtG mdtN
mdtG tolC
mdtH mdtL
mdtH mdtM
mdtH mdtN
mdtH tolC
mdtL mdtM
mdtL mdtN
mdtM tolC
mdtN tolC
mprF uppP
mrcA mrcB
mrcB ponA
vanB vanX
