AMO1 AMO2
FESUR1 NUC2
dld nuoC
hycE hycG
hycE nuoB
hycE nuoC
hycE nuoE
hycE nuoF
hycE nuoH
hycE nuoI
hycE nuoJ
hycE nuoK
hycE nuoL
hycE nuoN
hycG hyfG
hycG nuoC
hycG nuoH
hycG nuoI
hycG nuoK
hycG nuoL
hycG nuoN
hyfG hyfI
hyfG nuoC
hyfG nuoE
hyfG nuoF
hyfG nuoG
hyfG nuoH
hyfG nuoI
hyfG nuoK
hyfG nuoL
hyfG nuoN
hyfI nuoC
hyfI nuoH
hyfI nuoI
hyfI nuoL
hyfI nuoN
ndhC nuoF
ndhC nuoG
ndhC nuoH
ndhC nuoI
ndhC nuoJ
ndhC nuoK
nuoA nuoB
nuoA nuoC
nuoA nuoD
nuoA nuoE
nuoA nuoF
nuoA nuoG
nuoA nuoH
nuoA nuoI
nuoA nuoJ
nuoA nuoK
nuoA nuoL
nuoA nuoN
nuoB nuoC
nuoB nuoD
nuoB nuoE
nuoB nuoF
nuoB nuoH
nuoB nuoI
nuoB nuoJ
nuoB nuoK
nuoB nuoL
nuoB nuoN
nuoC nuoE
nuoC nuoF
nuoC nuoG
nuoC nuoH
nuoC nuoI
nuoC nuoJ
nuoC nuoK
nuoC nuoL
nuoC nuoN
nuoD nuoH
nuoD nuoK
nuoD nuoN
nuoE nuoF
nuoE nuoG
nuoE nuoH
nuoE nuoI
nuoE nuoJ
nuoE nuoK
nuoE nuoL
nuoE nuoN
nuoF nuoG
nuoF nuoH
nuoF nuoI
nuoF nuoJ
nuoF nuoK
nuoF nuoL
nuoF nuoN
nuoG nuoH
nuoG nuoI
nuoG nuoJ
nuoG nuoK
nuoG nuoL
nuoG nuoN
nuoH nuoI
nuoH nuoJ
nuoH nuoK
nuoH nuoL
nuoH nuoN
nuoI nuoJ
nuoI nuoK
nuoI nuoL
nuoI nuoN
nuoJ nuoK
nuoJ nuoL
nuoJ nuoN
nuoK nuoL
nuoK nuoN
nuoL nuoN
