MRPL6 RPL25 0.99
NEP1 RPS5 0.975
NEP1 RPS9B 0.998
NOP6 SSF1 0.832
RAT1 SPT5 0.655
RPF2 SSF1 0.96
RPL25 RPL37B 0.999
RPL25 RPL9B 0.999
RPL25 RPS42 0.996
RPL25 RPS5 0.999
RPL25 RPS9B 0.999
RPL37B RPL9B 0.999
RPL37B RPS5 0.999
RPL37B RPS9B 0.999
RPL9B RPS5 0.999
RPL9B RPS9B 0.999
RPS42 RPS5 0.998
RPS42 RPS9B 0.999
RPS4A RPS5 0.999
RPS4A RPS9B 0.997
RPS5 RPS9B 0.999
abc-f rplA 0.574
abc-f rplB 0.57
abc-f rplC 0.604
abc-f rplD 0.627
abc-f rplE 0.572
abc-f rplF 0.571
abc-f rplO 0.57
abc-f rplP 0.586
abc-f rplT 0.591
abc-f rplU 0.65
abc-f rplV 0.568
abc-f rplW 0.584
abc-f rplX 0.561
abc-f rpsC 0.598
abc-f rpsD 0.577
abc-f rpsE 0.564
abc-f rpsG 0.589
abc-f rpsH 0.564
abc-f rpsK 0.561
abc-f rpsL 0.578
abc-f rpsM 0.564
abc-f rpsO 0.598
abc-f rpsQ 0.549
abc-f rpsS 0.58
era rplI 0.497
era rpsE 0.714
era rpsG 0.761
era rpsK 0.483
era rpsL 0.701
era rpsO 0.71
ettA rplA 0.664
ettA rplA 0.69
ettA rplA 0.962
ettA rplB 0.647
ettA rplB 0.649
ettA rplB 0.688
ettA rplC 0.661
ettA rplC 0.677
ettA rplC 0.713
ettA rplD 0.524
ettA rplD 0.685
ettA rplD 0.694
ettA rplE 0.666
ettA rplE 0.961
ettA rplF 0.642
ettA rplF 0.651
ettA rplF 0.698
ettA rplO 0.633
ettA rplO 0.649
ettA rplO 0.689
ettA rplP 0.651
ettA rplP 0.659
ettA rplP 0.706
ettA rplT 0.647
ettA rplT 0.672
ettA rplT 0.702
ettA rplU 0.658
ettA rplU 0.678
ettA rplU 0.719
ettA rplV 0.636
ettA rplV 0.648
ettA rplV 0.691
ettA rplW 0.636
ettA rplW 0.658
ettA rplW 0.705
ettA rplX 0.645
ettA rpmE 0.604
ettA rpsC 0.655
ettA rpsC 0.673
ettA rpsD 0.658
ettA rpsD 0.705
ettA rpsE 0.635
ettA rpsE 0.645
ettA rpsE 0.688
ettA rpsG 0.681
ettA rpsG 0.709
ettA rpsG 0.964
ettA rpsH 0.648
ettA rpsK 0.642
ettA rpsK 0.687
ettA rpsL 0.638
ettA rpsL 0.659
ettA rpsM 0.629
ettA rpsM 0.646
ettA rpsM 0.692
ettA rpsN 0.632
ettA rpsN 0.649
ettA rpsN 0.688
ettA rpsO 0.655
ettA rpsO 0.674
ettA rpsO 0.712
ettA rpsQ 0.626
ettA rpsQ 0.638
ettA rpsQ 0.675
ettA rpsS 0.651
ettA rpsS 0.653
ettA rpsS 0.694
ettA typA 0.492
ettA typA 0.629
hslR rplB 0.912
hslR rplC 0.912
hslR rplD 0.912
hslR rplE 0.912
hslR rplF 0.912
hslR rplI 0.673
hslR rplO 0.911
hslR rplP 0.913
hslR rplT 0.913
hslR rplU 0.911
hslR rplV 0.915
hslR rplW 0.912
hslR rplX 0.911
infA rplA 0.953
infA rplA 0.972
infA rplA 0.975
infA rplA 0.976
infA rplA 0.981
infA rplA 0.983
infA rplA 0.984
infA rplA 0.987
infA rplA 0.992
infA rplB 0.976
infA rplB 0.99
infA rplB 0.992
infA rplB 0.993
infA rplB 0.994
infA rplB 0.995
infA rplB 0.997
infA rplB 0.999
infA rplC 0.969
infA rplC 0.983
infA rplC 0.984
infA rplC 0.987
infA rplC 0.989
infA rplC 0.99
infA rplC 0.992
infA rplC 0.997
infA rplD 0.982
infA rplD 0.991
infA rplD 0.995
infA rplD 0.998
infA rplD 0.999
infA rplE 0.99
infA rplE 0.992
infA rplE 0.994
infA rplE 0.995
infA rplE 0.996
infA rplE 0.998
infA rplE 0.999
infA rplF 0.982
infA rplF 0.985
infA rplF 0.989
infA rplF 0.991
infA rplF 0.992
infA rplF 0.993
infA rplF 0.994
infA rplF 0.997
infA rplF 0.999
infA rplJ 0.977
infA rplO 0.985
infA rplO 0.986
infA rplO 0.988
infA rplO 0.989
infA rplO 0.993
infA rplO 0.994
infA rplO 0.998
infA rplO 0.999
infA rplP 0.985
infA rplP 0.991
infA rplP 0.993
infA rplP 0.994
infA rplP 0.996
infA rplP 0.998
infA rplP 0.999
infA rplT 0.928
infA rplU 0.784
infA rplU 0.809
infA rplU 0.823
infA rplU 0.918
infA rplV 0.978
infA rplV 0.99
infA rplV 0.992
infA rplV 0.993
infA rplV 0.995
infA rplV 0.996
infA rplV 0.997
infA rplV 0.999
infA rplW 0.958
infA rplW 0.978
infA rplW 0.979
infA rplW 0.986
infA rplW 0.988
infA rplW 0.99
infA rplW 0.991
infA rplW 0.994
infA rplW 0.995
infA rplX 0.979
infA rplX 0.99
