DAL7 FGR2 0.441
FGR2 GIT1 0.43
HOL1 QDR2 0.615
QDR2 TPO2 0.621
aaeA aaeB 0.977
aaeA aaeB 0.999
aaeA emrB 0.57
aaeA emrB 0.592
aaeA emrY 0.614
aaeA macB 0.708
aaeA macB 0.868
aaeA mdtE 0.496
aaeB tsgA 0.612
aaeB tsgA 0.721
acrA acrE 0.55
acrA cusB 0.81
acrA emrB 0.908
acrA emrY 0.763
acrA macB 0.961
acrA mdtE 0.421
acrA mdtG 0.644
acrA mdtH 0.558
acrE emrB 0.591
acrE emrY 0.541
acrE ftsE 0.406
acrE macB 0.741
adeI lolD 0.438
adeI macB 0.953
alsC fecC 0.552
alsC fecD 0.554
alsC lsrC 0.658
alsC lsrD 0.657
alsC mdtO 0.67
alsC mglC 0.638
alsC rbsC 0.608
alsC xylH 0.668
alsC yjfF 0.671
araE yfkF 0.424
araE yjbB 0.63
artM artQ 0.995
artM artQ 0.997
artM glnP 0.521
artM glnP 0.674
artM gltJ 0.534
artM gltJ 0.665
artM gltK 0.536
artM gltK 0.669
artM hisM 0.493
artM thiP 0.548
artQ glnP 0.534
artQ glnP 0.663
artQ gltJ 0.568
artQ gltJ 0.679
artQ gltK 0.548
artQ gltK 0.665
artQ hisM 0.804
artQ thiP 0.583
artQ yckA 0.478
artQ yknY 0.448
artQ ytrE 0.448
artQ yvrO 0.478
bacE pbuE 0.681
bacE yfkF 0.684
bacE yjbB 0.834
bacE yttB 0.614
bacE yvqJ 0.415
bacE ywfA 0.914
betT proX 0.686
bmr pbuE 0.703
bmr yfkF 0.683
bmr yjbB 0.83
bmr ykkD 0.427
bmr yttB 0.55
csbC csbX 0.543
csbC ywtG 0.931
csbC yybO 0.51
csbX ywtG 0.512
csbX yybO 0.423
cusB macB 0.719
cusB mdtH 0.601
ebrA ebrB 0.954
ebrA ykkC 0.765
ebrA ykkD 0.494
ebrB ykkC 0.763
ebrB ykkD 0.456
ecfT ftsE 0.477
emrB emrY 0.558
emrB macB 0.834
emrB mdtE 0.505
emrB mdtG 0.521
emrB mdtH 0.609
emrY macB 0.526
emrY mdtE 0.6
emrY mdtG 0.531
emrY mdtH 0.524
emrY mdtO 0.53
exbB exbD 0.999
exbB macB 0.409
exbB tolR 0.977
exbD fepD 0.659
exbD fepG 0.569
