GO_ID,n_genes,n_edges,density,n_components,largest_component,avg_degree,clustering,is_clique
GO_0005496_F_steroid_binding,2,1,1.0,1,2,1.0,0.0,True
GO_0000254_F_C-4_methylsterol_oxidase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0016811_F_hydrolase_activity_acting_on_carbon-nitrogen_but_not_peptide_bonds_in_linear_amides,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0044732_C_mitotic_spindle_pole_body,10,18,0.4,2,6,3.6,0.9066666666666666,False
GO_0051604_P_protein_maturation,9,22,0.6111111111111112,2,7,4.888888888888889,0.7777777777777778,False
GO_0034058_P_endosomal_vesicle_fusion,3,3,1.0,1,3,2.0,1.0,True
GO_0009378_F_four-way_junction_helicase_activity,9,10,0.2777777777777778,3,4,2.2222222222222223,0.7777777777777778,False
GO_0030476_P_ascospore_wall_assembly,5,4,0.4,2,3,1.6,0.6,False
GO_0004673_F_protein_histidine_kinase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0006541_P_glutamine_metabolic_process,5,4,0.4,2,3,1.6,0.6,False
GO_0000921_P_septin_ring_assembly,8,16,0.5714285714285714,2,6,4.0,0.75,False
GO_0017000_P_antibiotic_biosynthetic_process,4,5,0.8333333333333334,1,4,2.5,0.8333333333333333,False
GO_0016197_P_endosomal_transport,4,5,0.8333333333333334,1,4,2.5,0.8333333333333333,False
GO_1900436_P_positive_regulation_of_filamentous_growth_of_a_population_of_unicellular_organisms_in_response_to_starvation,20,58,0.30526315789473685,1,20,5.8,0.4156493506493506,False
GO_0042149_P_cellular_response_to_glucose_starvation,5,6,0.6,1,5,2.4,0.6,False
GO_0000455_P_enzyme-directed_rRNA_pseudouridine_synthesis,8,17,0.6071428571428571,1,8,4.25,0.7261904761904762,False
GO_0006287_P_base-excision_repair_gap-filling,2,1,1.0,1,2,1.0,0.0,True
GO_0006538_P_glutamate_catabolic_process,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0016810_F_hydrolase_activity_acting_on_carbon-nitrogen_but_not_peptide_bonds,4,4,0.6666666666666666,1,4,2.0,0.5833333333333333,False
GO_0052574_P_UDP-galactose_biosynthetic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0008177_F_succinate_dehydrogenase_quinone_activity,5,4,0.4,2,3,1.6,0.6,False
GO_0016236_P_macroautophagy,2,1,1.0,1,2,1.0,0.0,True
GO_1990112_C_RQC_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0034644_P_cellular_response_to_UV,5,9,0.9,1,5,3.6,0.9,False
GO_0015606_F_spermidine_transmembrane_transporter_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0019645_P_anaerobic_electron_transport_chain,3,3,1.0,1,3,2.0,1.0,True
GO_0030020_F_extracellular_matrix_structural_constituent_conferring_tensile_strength,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0042555_C_MCM_complex,6,15,1.0,1,6,5.0,1.0,True
GO_0006097_P_glyoxylate_cycle,11,23,0.41818181818181815,2,6,4.181818181818182,0.9181818181818183,False
GO_0061799_F_cyclic_pyranopterin_monophosphate_synthase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0016592_C_mediator_complex,15,89,0.8476190476190476,1,15,11.866666666666667,0.8965145965145965,False
GO_0007346_P_regulation_of_mitotic_cell_cycle,5,3,0.3,2,3,1.2,0.0,False
GO_0061157_P_mRNA_destabilization,2,1,1.0,1,2,1.0,0.0,True
GO_0007064_P_mitotic_sister_chromatid_cohesion,7,11,0.5238095238095238,1,7,3.142857142857143,0.4523809523809524,False
GO_0004372_F_glycine_hydroxymethyltransferase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0009025_F_tagatose-bisphosphate_aldolase_activity,2,1,1.0,1,2,1.0,0.0,True
