GO_ID,n_genes,n_edges,density,n_components,largest_component,avg_degree,clustering,is_clique
corneal_keratocyte,2952,15324,0.003518168018006849,1,2952,10.382113821138212,0.15516965319978818,False
adipocyte,3099,34098,0.0071032305762641105,1,3099,22.005808325266216,0.24883014586529248,False
"double-positive,_alpha-beta_thymocyte",2628,25021,0.0072485180530714,1,2628,19.041856925418568,0.21735434880883658,False
tendon_cell,2747,20597,0.005461032640785909,1,2747,14.995995631598108,0.17544541741673095,False
myoepithelial_cell,2026,6823,0.003326142858883892,1,2026,6.735439289239881,0.09939432151938202,False
respiratory_mucous_cell,2939,21730,0.005033132278267129,1,2939,14.787342633548826,0.19966516571664497,False
myeloid_progenitor,3337,48500,0.008713436802251336,1,3337,29.06802517231046,0.2706035038885599,False
tongue_muscle_cell,1382,6607,0.006923609750270101,1,1382,9.56150506512301,0.16254767188767572,False
melanocyte,2746,22070,0.005855843306442091,1,2746,16.07428987618354,0.1889050373759348,False
plasma_cell,3178,40013,0.007926108299247284,1,3178,25.18124606670862,0.265806852090469,False
kidney_epithelial_cell,2909,19643,0.004644079962436928,1,2909,13.504984530766587,0.2139781873771707,False
eye_photoreceptor_cell,2140,9127,0.003987801094930376,1,2140,8.529906542056075,0.1688204419303895,False
stromal_cell,3091,34462,0.0072162735742876015,1,3091,22.298285344548688,0.20478472905127132,False
conjunctival_epithelial_cell,3112,25988,0.005368627285715584,1,3112,16.701799485861184,0.1978703337996583,False
type_i_nk_t_cell,1007,3051,0.006023442265967255,1,1007,6.059582919563058,0.12296004923996193,False
luminal_cell_of_prostate_epithelium,2738,13511,0.0036058632173929057,1,2738,9.869247626004382,0.16241081973870627,False
mesothelial_cell,3211,35080,0.006806819626071206,1,3211,21.849890999688572,0.22217575419948388,False
lymphatic_endothelial_cell,3023,19766,0.004327291777817233,1,3023,13.077075752563678,0.16863527872814754,False
macrophage,3113,23062,0.0047611104275378895,1,3113,14.816575650497912,0.1852341719132824,False
connective_tissue_cell,2164,7315,0.0031255795033768223,1,2164,6.760628465804067,0.12699885426010424,False
intestinal_enteroendocrine_cell,2848,15594,0.0038464498407549045,1,2848,10.950842696629213,0.1654012360282937,False
retinal_blood_vessel_endothelial_cell,3176,28717,0.005695670283028223,1,3176,18.08375314861461,0.17945301214119339,False
skeletal_muscle_satellite_stem_cell,1862,14990,0.008651782215191006,1,1862,16.100966702470462,0.1932012469779903,False
mature_enterocyte,1103,2950,0.0048539455996103684,1,1103,5.349048050770626,0.12956561794036903,False
duct_epithelial_cell,2821,14603,0.0036713001023227516,1,2821,10.35306628855016,0.15929564649874137,False
transit_amplifying_cell_of_large_intestine,3158,38352,0.007693630146865446,1,3158,24.288790373654212,0.25239988582438944,False
myofibroblast_cell,2807,15310,0.0038875421160975985,1,2807,10.908443177769861,0.14814060601526688,False
tracheal_goblet_cell,2965,17189,0.003911809618741366,1,2965,11.59460370994941,0.16328183940188737,False
fibroblast_of_cardiac_tissue,1826,5967,0.003581149004486189,1,1826,6.5355969331872945,0.12251029637544734,False
vascular_associated_smooth_muscle_cell,2495,11550,0.003712316372922268,1,2495,9.258517034068136,0.15300976202520486,False
pericyte_cell,2986,19533,0.00438293274813451,1,2986,13.083054253181514,0.17090825423573075,False
cardiac_muscle_cell,3247,33782,0.006410391430091116,1,3247,20.808130582075762,0.2338453735095923,False
endothelial_cell_of_hepatic_sinusoid,2142,7759,0.003383760479125482,1,2142,7.244631185807656,0.12611169344344017,False
club_cell,2140,8012,0.0035006313545066477,1,2140,7.48785046728972,0.1463740066863955,False
pancreatic_ductal_cell,3054,22920,0.004916417681857582,1,3054,15.009823182711198,0.19938699352095116,False
immature_enterocyte,3101,33735,0.007018547606911402,1,3101,21.757497581425348,0.24159917912792508,False
hematopoietic_stem_cell,2919,38048,0.008933927957995887,1,2919,26.069201781431996,0.26487360621762457,False
b_cell,1180,7427,0.01067695979068731,1,1180,12.58813559322034,0.19112405619446557,False
cd141-positive_myeloid_dendritic_cell,3296,41245,0.007595540462896121,1,3296,25.027305825242717,0.23373398241345836,False
fibroblast_of_breast,2472,17934,0.005871998679831679,1,2472,14.509708737864077,0.17975857372603843,False
pancreatic_beta_cell,2742,18095,0.004815175239647773,1,2742,13.198395331874544,0.20860851976454045,False
small_intestine_goblet_cell,1804,6258,0.003847984327672652,1,1804,6.937915742793791,0.1340358017679267,False
endothelial_cell,3176,25570,0.005071500823102402,1,3176,16.102015113350127,0.17180216775196444,False
